DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,Arrest,LarcenyCode,ObjectID
2019/01/12 00:00:00+00,2238,2238,2000 E  FAYETTE ST     ,AGGRAVATED ASSAULT,,N/A,156
2019/01/12 00:00:00+00,0021,0021,300 PRIMROSE AV     ,AGGRAVATED ASSAULT,Yes,N/A,157
2019/01/12 00:00:00+00,0430,0430,3300 S  SALINA ST     ,BURGLARY,,From Building,158
2019/01/12 00:00:00+00,1730,1000,3500 E  GENESEE ST     ,BURGLARY,,From Building,159
2019/01/12 00:00:00+00,0337,0337,500 S  CLINTON ST     ,AGGRAVATED ASSAULT,Yes,N/A,160
2019/01/12 00:00:00+00,0420,0420,700 S  GEDDES ST     ,LARCENY,,All Other,161
2019/01/12 00:00:00+00,1802,1803,900 IRVING AV     ,LARCENY,,All Other,162
2019/01/13 00:00:00+00,1330,1330,1 DESTINY USA DR,MV THEFT,Yes,All Other,163
2019/01/13 00:00:00+00,1100,1300,100 MCCLURE AV     ,BURGLARY,,N/A,164
2019/01/13 00:00:00+00,1900,1900,100 SATURN DR     ,BURGLARY,,From Building,165
2019/01/13 00:00:00+00,1858,1859,1000 NORTHWAY ST     ,AGGRAVATED ASSAULT,Yes,N/A,166
2019/01/13 00:00:00+00,2300,2309,1100 BUTTERNUT ST     ,AGGRAVATED ASSAULT,Yes,N/A,167
2019/01/13 00:00:00+00,2230,2316,200 W  BEARD AV     ,AGGRAVATED ASSAULT,,All Other,168
2019/01/13 00:00:00+00,1630,1630,300 N  STATE ST     ,LARCENY,,From Building,169
2019/01/13 00:00:00+00,0730,1600,3000 E  GENESEE ST     ,LARCENY,,Of MV Parts/Accessories,170
2019/01/13 00:00:00+00,0130,0130,600 N  GEDDES ST     ,AGGRAVATED ASSAULT,,N/A,171
2019/01/13 00:00:00+00,1643,1643,700 FIRST NORTH ST     ,LARCENY,Yes,Shoplifting,172
2019/01/13 00:00:00+00,1200,1200,700 N  SALINA ST     ,LARCENY,,From Motor Vehicle,173
2019/01/14 00:00:00+00,1638,1638,1 DESTINY USA DR,LARCENY,,All Other,174
2019/01/14 00:00:00+00,1824,1824,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,175
2019/01/14 00:00:00+00,0201,0201,1600 W  GENESEE ST     ,MV THEFT,Yes,Motor Vehicle,176
2019/01/14 00:00:00+00,0453,0503,200 DALE ST     ,LARCENY,,All Other,177
2019/01/14 00:00:00+00,1504,1504,300 HOLLAND ST     ,AGGRAVATED ASSAULT,,N/A,178
2019/01/14 00:00:00+00,0256,0256,3000 MIDLAND AV     ,AGGRAVATED ASSAULT,Yes,N/A,179
2019/01/14 00:00:00+00,0930,1057,400 E  GENESEE ST     ,ROBBERY,,All Other,180
2019/01/14 00:00:00+00,0445,0445,600 TURTLE ST     ,LARCENY,,All Other,181
2019/01/14 00:00:00+00,2300,1130,700 SUMMIT AV     ,BURGLARY,,From Building,182
2019/01/14 00:00:00+00,1630,1730,800 COMSTOCK AV     ,LARCENY,,All Other,183
2019/01/15 00:00:00+00,1735,1800,1 DESTINY USA DR,LARCENY,,All Other,184
2019/01/15 00:00:00+00,1945,1945,1 DESTINY USA DR,LARCENY,,Shoplifting,185
2019/01/15 00:00:00+00,1155,1155,1 DESTINY USA DR,LARCENY,,Shoplifting,186
2019/01/15 00:00:00+00,1823,1823,100 CHATHAM PL     ,LARCENY,,,187
2019/01/15 00:00:00+00,1800,0550,100 KENWOOD AV     ,BURGLARY,,From Building,188
2019/01/15 00:00:00+00,0925,1022,100 NEW ST     ,ROBBERY,Yes,Pocket Picking,189
2019/01/15 00:00:00+00,1145,1145,1100 W  BELDEN AV     ,AGGRAVATED ASSAULT,,N/A,190
2019/01/15 00:00:00+00,1600,1000,1200 HARRISON ST     ,LARCENY,,From Motor Vehicle,191
2019/01/15 00:00:00+00,0600,0600,1800 GRANT BLVD   ,LARCENY,,From Motor Vehicle,192
2019/01/15 00:00:00+00,0900,0920,200 MOONEY AV     ,MV THEFT,,Motor Vehicle,193
2019/01/15 00:00:00+00,0755,0755,300 ROWLAND ST     ,MV THEFT,,Motor Vehicle,194
2019/01/15 00:00:00+00,1200,1200,400 FAYETTE BLVD   ,BURGLARY,,All Other,195
2019/01/15 00:00:00+00,2045,0800,400 JAMES ST     ,LARCENY,,All Other,196
2019/01/15 00:00:00+00,0200,1215,700 COMSTOCK AV     ,LARCENY,,From Motor Vehicle,197
2019/01/15 00:00:00+00,1423,1027,900 EMERSON AV     ,BURGLARY,,From Building,198
2019/01/15 00:00:00+00,1400,1255,900 N  ALVORD ST     ,LARCENY,,All Other,199
2019/01/16 00:00:00+00,1956,1956,1 DESTINY USA DR,LARCENY,,Shoplifting,200
2019/01/16 00:00:00+00,1450,1450,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,201
2019/01/16 00:00:00+00,1200,1240,100 HIGHLAND ST     ,LARCENY,,From Motor Vehicle,202
2019/01/16 00:00:00+00,1230,1315,100 JOSEPHINE ST     ,BURGLARY,,From Building,203
2019/01/16 00:00:00+00,0645,0645,100 PARKWAY DR     ,MV THEFT,,Motor Vehicle,204
2019/01/16 00:00:00+00,1711,1711,1000 BUTTERNUT ST     ,ROBBERY,,Purse Snatch,205
