X,Y,OBJECTID,DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,ARREST
-8471409.68720091,5319420.47957871,1339,2018/05/10,2250,2250,200 W  FAYETTE ST,LARCENY,
-8476912.28757748,5319373.45370338,1340,2018/04/11,1700,1855,300 MONTGOMERY ST,LARCENY,
,,1341,2018/04/12,0115,0115,UNKNOWN,LARCENY,
-8470581.56585538,5321252.03585154,1342,2018/04/11,1231,1231,3300 BURNET AV,BURGLARY,A
-8474025.08290192,5321892.69039668,1343,2018/05/18,0905,0905,100 HAMPTON RD,LARCENY,
-8475858.31408668,5313467.30204364,1344,2018/04/11,1527,1527,400 CHURCHILL AV,LARCENY,
-8472221.16916479,5318917.09987646,1345,2018/04/12,1034,1034,100 FERRIS AV,BURGLARY,
-8477318.7484171,5317351.89394943,1346,2018/05/18,0339,0435,200 CORTLAND AV,LARCENY,
-8475840.48123151,5320232.13712324,1347,2018/05/18,2345,0445,200 GREEN ST,LARCENY,
-8478156.31615514,5318325.12772353,1348,2018/05/18,0620,0615,200 SHONNARD ST,LARCENY,
-8475954.88824704,5317679.87209175,1349,2018/04/12,1042,1800,100 HENRY ST,LARCENY,
,,1350,2018/04/12,1332,1332,0 DESTINY USA DR,LARCENY,
,,1351,2018/04/12,1842,1842,0 DESTINY USA DR,LARCENY,
,,1352,2018/04/13,1232,1232,UNKNOWN,AGGRAVATED ASSAULT,
-8473707.06784823,5314505.42724734,1353,2018/04/12,2300,0015,400 SKYTOP RD,LARCENY,
-8476769.72062886,5319449.27025695,1354,2018/05/18,0815,1315,300 E  WASHINGTON ST,LARCENY,
-8480015.79697291,5317440.9886537,1355,2018/05/18,1900,2000,400 ROWLAND ST,BURGLARY,
-8477792.88948534,5313631.15392348,1356,2018/04/13,1443,1443,100 WENTE TER,AGGRAVATED ASSAULT,
-8476159.73456959,5313311.87873787,1357,2018/04/10,2158,2158,4100 S  SALINA ST,BURGLARY,
-8480643.60808464,5316519.9800776,1358,2018/04/13,1843,1843,1300 STOLP AV,BURGLARY,
-8478920.74708812,5318408.74834681,1359,2018/05/18,1835,1830,500 SEYMOUR ST,AGGRAVATED ASSAULT,
-8473147.44006858,5322271.18975289,1360,2018/05/19,1201,1003,100 SHOTWELL,LARCENY,
-8476040.66307841,5321574.40715279,1361,2018/04/12,2200,2200,600 PARK ST,LARCENY,
-8475108.90233578,5320374.75892238,1362,2018/04/13,1103,1103,700 HAWLEY AV,BURGLARY,
-8477567.71444155,5312688.63228253,1363,2018/05/19,0220,0220,100 SMITH LN,ROBBERY,
